file,total_frames,time,result,ground_truth
s1-1.mov,79,3.6800761222839355,Dual_hands_heart,Zoom_in_with_fingers
s1-2.mov,77,3.6683220863342285,Click_with_index_finger,Click_with_index_finger
s1-3.mov,83,3.953994035720825,,Make_a_phone_call
s1-4.mov,84,3.9677469730377197,,Wave_finger
s1-5.mov,92,4.306626081466675,Knock,Knock
s1-6.mov,65,3.099959135055542,,Move_fingers_left
s1-7.mov,90,4.240437030792236,,Sweep_diagonal
s1-8.mov,112,5.240738153457642,,Sweep_circle
s1-9.mov,103,5.002157926559448,Sweep_cross,Sweep_cross
s1-10.mov,72,3.3492836952209473,Dual_hands_heart,Dual_hands_heart
s2-1.mov,100,4.742944002151489,Dual_hands_heart,Zoom_in_with_fingers
s2-2.mov,63,3.404834032058716,,Click_with_index_finger
s2-3.mov,67,3.27650785446167,,Make_a_phone_call
s2-4.mov,80,3.7528810501098633,,Wave_finger
s2-5.mov,90,4.271103858947754,,Knock
s2-6.mov,88,4.0937418937683105,,Move_fingers_left
s2-7.mov,50,2.3606748580932617,,Sweep_diagonal
s2-8.mov,92,4.381824970245361,Sweep_circle,Sweep_circle
s2-9.mov,87,4.134324073791504,,Sweep_cross
s2-10.mov,98,4.590736150741577,Dual_hands_heart,Dual_hands_heart
s3-1.mov,67,3.2472951412200928,Dual_hands_heart,Zoom_in_with_fingers
s3-2.mov,52,2.560412883758545,,Click_with_index_finger
s3-3.mov,46,2.2024149894714355,,Make_a_phone_call
s3-4.mov,64,3.115875244140625,,Wave_finger
s3-5.mov,63,3.03171706199646,,Knock
s3-6.mov,55,2.7474663257598877,,Move_fingers_left
s3-7.mov,77,3.8254950046539307,,Sweep_diagonal
s3-8.mov,86,4.1948699951171875,Sweep_cross,Sweep_circle
s3-9.mov,80,3.8386406898498535,,Sweep_cross
s3-10.mov,67,3.4114670753479004,Dual_hands_heart,Dual_hands_heart
